year,constructor_name,total_points
1950,"Alfa Romeo",270
1951,Ferrari,329
1952,Ferrari,417
1953,Ferrari,456
1954,Ferrari,344
1955,Mercedes,263
1956,Maserati,397
1957,Maserati,335
1958,Ferrari,317
1959,Cooper-Climax,343
1960,Cooper-Climax,417
1961,Ferrari,315
1962,BRM,203
1963,Lotus-Climax,240
1964,BRM,267
1965,BRM,269
1966,Cooper-Maserati,225
1967,Brabham-Repco,318
1968,Lotus-Ford,257
1969,Matra-Ford,289
1970,March,251
1971,Tyrrell,269
1972,McLaren,252
1973,Tyrrell,378
1974,McLaren,350
1975,Ferrari,310
1976,Ferrari,328
1977,Ferrari,378
1978,"Team Lotus",363
1979,Ferrari,378
1980,Williams,380
1981,Williams,311
1982,Ferrari,245
1983,Ferrari,300
1984,McLaren,438
1985,McLaren,287
1986,Williams,440
1987,Williams,413
1988,McLaren,576
1989,McLaren,419
1990,McLaren,388
1991,McLaren,432
1992,Williams,456
1993,Williams,475
1994,Williams,347
1995,Benetton,436
1996,Williams,488
1997,Williams,373
1998,McLaren,456
1999,Ferrari,411
2000,Ferrari,491
2001,Ferrari,522
2002,Ferrari,603
2003,Ferrari,399
2004,Ferrari,638
2005,Renault,467
2006,Renault,504
2007,McLaren,531
2008,Ferrari,429
2009,Brawn,448
2010,"Red Bull",498
2011,"Red Bull",650
2012,"Red Bull",460
2013,"Red Bull",596
2014,Mercedes,676
2015,Mercedes,703
2016,Mercedes,765
2017,Mercedes,668
2018,Mercedes,655
2019,Mercedes,731
2020,Mercedes,564
2021,Mercedes,603
2022,"Red Bull",716
2023,"Red Bull",779
2024,McLaren,603
