year,first_half_leader,season_champion
2010,"Lewis Hamilton","Sebastian Vettel"
2011,"Sebastian Vettel","Sebastian Vettel"
2012,"Fernando Alonso","Sebastian Vettel"
2013,"Sebastian Vettel","Sebastian Vettel"
2014,"Nico Rosberg","Lewis Hamilton"
2015,"Lewis Hamilton","Lewis Hamilton"
2016,"Nico Rosberg","Nico Rosberg"
2017,"Sebastian Vettel","Lewis Hamilton"
2018,"Sebastian Vettel","Lewis Hamilton"
2019,"Lewis Hamilton","Lewis Hamilton"
2020,"Lewis Hamilton","Lewis Hamilton"
2021,"Max Verstappen","Max Verstappen"
2022,"Max Verstappen","Max Verstappen"
2023,"Max Verstappen","Max Verstappen"
2024,"Max Verstappen","Max Verstappen"
