driver_name,times_beaten_teammate
"Max Verstappen",107
"Lando Norris",82
"Lewis Hamilton",79
"George Russell",77
"Charles Leclerc",75
"Pierre Gasly",68
"Alexander Albon",66
"Fernando Alonso",57
"Valtteri Bottas",57
"Carlos Sainz",57
"Esteban Ocon",51
"Daniel Ricciardo",49
"Lance Stroll",46
"Kevin Magnussen",42
"Nico Hülkenberg",40
"Kimi Räikkönen",39
"Yuki Tsunoda",39
"Sergio Pérez",37
"Sebastian Vettel",36
"Mick Schumacher",30
"Guanyu Zhou",26
"Antonio Giovinazzi",21
"Daniil Kvyat",19
"Romain Grosjean",18
"Nicholas Latifi",16
"Oscar Piastri",13
"Nikita Mazepin",6
"Liam Lawson",6
"Logan Sargeant",5
"Franco Colapinto",5
"Robert Kubica",4
"Nyck de Vries",3
"Oliver Bearman",2
"Jack Aitken",1
